"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"[Front cover]","",,2019 International Conference on Advancements in Computing (ICAC),"29 May 2020","2019","","","1","1","Presents the front cover or splash screen of the proceedings record.","","978-1-7281-4170-1","10.1109/ICAC49085.2019.9103385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103385","","","","","","","IEEE","29 May 2020","","","IEEE","IEEE Conferences"
"[Copyright notice]","",,2019 International Conference on Advancements in Computing (ICAC),"29 May 2020","2019","","","1","1","Presents the copyright information for the conference. May include reprint permission information.","","978-1-7281-4170-1","10.1109/ICAC49085.2019.9103419","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103419","","","","","","","IEEE","29 May 2020","","","IEEE","IEEE Conferences"
"Table of Contents","",,2019 International Conference on Advancements in Computing (ICAC),"29 May 2020","2019","","","1","9","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-4170-1","10.1109/ICAC49085.2019.9103392","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103392","","","","","","","IEEE","29 May 2020","","","IEEE","IEEE Conferences"
"Analyzing Payment Behaviors And Introducing An Optimal Credit Limit","H. M. M. T. Bandara; D. P. Samarasinghe; S. M. A. M. Manchanayake; L. P. J. Perera; K. C. Kumaradasa; N. Pemadasa; A. P. Samarasinghe","Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2019 International Conference on Advancements in Computing (ICAC),"29 May 2020","2019","","","68","72","Identifying an optimal credit limit plays a vital role in telecommunication industry as the credit limit given to customers is influence on the market, revenue stabilization and customer retention. Most of the time service providers offer a fixed credit limit for customers which may cause customer dissatisfaction and loss of potential revenue. Therefore, it is essential to determine an optimal credit limit that maintains customer satisfaction while stabilizing the company revenue. Clustering algorithms were used to group customers with similar payment and usage behaviors. Then the optimal credit limit derived for each cluster is applicable to all the customers within the cluster. In order to identify the most suitable clustering algorithm, cluster validation statistics namely, Silhouette and Dunn indexes were used in this research. Based on the scores generated from these statistics KMeans algorithm was chosen. Furthermore, the quality of the KMeans clustering was evaluated using Silhouette score and the Elbow method. The optimal number of clusters are identified by those validation statistics. The significance of this approach is that the optimal credit limits generated by these clustering models suit dynamic behaviors of the customer which in turn increases customer satisfaction while contributing to reducing customer churn and potential loss of revenue.","","978-1-7281-4170-1","10.1109/ICAC49085.2019.9103404","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103404","telecommunication;customer behaviors;machine learning;KMeans Clustering;cluster validation;customer satisfaction;optimal credit limit","Clustering algorithms;Companies;Partitioning algorithms;Indexes;Industries;Feature extraction;Task analysis","","","","13","IEEE","29 May 2020","","","IEEE","IEEE Conferences"
"AI Based Depression and Suicide Prevention System","S. A. S. A. Kulasinghe; A. Jayasinghe; R. M. A. Rathnayaka; P. B. M. M. D. Karunarathne; P. D. Suranjini Silva; J. A. D. C. Anuradha Jayakodi","Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2019 International Conference on Advancements in Computing (ICAC),"29 May 2020","2019","","","73","78","Suicide is a major issue in the world. The number one reason for suicide is untreated depression. That is why it was decided to focus on depression symptoms more and identify them in order to prevent suicidal attempts. To cure depression, the best way is to talk about their feelings with someone they trusted and release their pain inside of them. Because of that this system has a Chat-bot for the user to interact with. Chat-bot will gather information about the users feelings through text and voice analysis. Also by analyzing their Facebook statuses and recent web history, the application gather more information about their mental state so that the system take more accurate conclusions. After analyzing all the information from each component the back brain will decide on how the chat-bot should act on the user. At the end, the product was able to give more than 75% accurate results for each component.","","978-1-7281-4170-1","10.1109/ICAC49085.2019.9103411","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103411","Artificial Intelligence;Depression;Suicide;NLP;Mobile Application;Chat Bot;Voice Analysis;Sentimental Analysis","Computational modeling;Feature extraction;Artificial intelligence;Facebook;Decoding;Information technology","","9","","17","IEEE","29 May 2020","","","IEEE","IEEE Conferences"
"Intelligent Flood Management System","M. J. D. Fernando; D. A. K. K. Pathirana; W. J. K. T. D. Jayasooriya; S. A. H. Rathnaweera; L. Rupasinghe","Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2019 International Conference on Advancements in Computing (ICAC),"29 May 2020","2019","","","79","84","Flooding is one of the major disasters in Sri Lanka. In Sri Lanka, there are no effective pre preparedness procedures follow in a flooding situation. The setting of pre and post-disaster activities like mitigation, preparedness, response, and recovery have very important roles in reducing future hazard risk in disaster-prone areas. Lack of communication and coordination during a disaster situation has led inefficiencies in mitigating adverse, in that situation, messages requesting for any assistance are sent to a central cloud system where the system generates response automatically and communicate and coordinate with the relevant parties. The genetic programming methods have used to plan relief supply distribution and safety location allocation for the flood-affected people in Sri Lanka. The research provides a guide for the administration of flood management for decision making on flood disaster management, preparedness and mitigation damages and deaths, recovery, and development in post-disaster situations in Sri Lanka.","","978-1-7281-4170-1","10.1109/ICAC49085.2019.9103407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103407","flood management system;relief distribution;genetic algorithm;mesh network;safety place allocation","Floods;Genetic algorithms;Resource management;Testing;Space exploration;Mesh networks","","","","16","IEEE","29 May 2020","","","IEEE","IEEE Conferences"
"Intelligent Timetable Scheduler: A Comparison of Genetic, Graph Coloring, Heuristic and Iterated Local Search Algorithms","T. W. Ekanayake; P. Subasinghe; S. Ragel; A. Gamage; S. Attanayaka","Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2019 International Conference on Advancements in Computing (ICAC),"29 May 2020","2019","","","85","90","A Timetable scheduling is a monotonous task and a problem in an educational institute. This is because many rules and constraints are involved, which can be categorized as hard and soft constraints. Mainly, a university must produce two types of timetables, which are examination, and semester timetables. This paper has reviewed the Exam Timetabling problem with Genetic and Graph Coloring algorithms and the Semester Timetabling problem with Heuristic and Iterated Local Search algorithms. Our aim here is to develop a possible and correct solution for each timetabling problem using the above-mentioned four different approaches.","","978-1-7281-4170-1","10.1109/ICAC49085.2019.9103403","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103403","Genetic Algorithm;Graph Coloring Algorithm;Heuristic Algorithm;Iterated Local Search Algorithm;Scheduling;Examination Timetabling;Semester Timetabling","Heuristic algorithms;Genetic algorithms;Sociology;Statistics;Biological cells;Color;Task analysis","","3","","17","IEEE","29 May 2020","","","IEEE","IEEE Conferences"
"FIMAA: Four-way Integrated Mobile Authentication API","L. Kariyawasam; M. Moonamaldeniya; V. Samarawickrama; S. H. Premalal; L. Rupasinghe; K. Y. Abeywardena","Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2019 International Conference on Advancements in Computing (ICAC),"29 May 2020","2019","","","91","96","In this era of the digital world, mobile device users have been increased to a significant number. This proposed system presents a hybrid authentication approach which can be considered as a combination of silent authentication and input based authentication to enhance mobile security in android mobile applications. A four-way integrated mobile API introduces the gait patterns and location traces as well as the image context and face ID-based emotions of the user. This application silently authenticates the exposed location trace and gait patterns of the user while other ear and emotion inputs will be prompted to end-user accordingly with input authentication.","","978-1-7281-4170-1","10.1109/ICAC49085.2019.9103374","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103374","Mobile Security;Authentication;Privacy;Gait;Location;Image Context;Emotion sequence;sensitive data","Authentication;Ear;Accelerometers;Mobile handsets;Global Positioning System;Face recognition;Gyroscopes","","","","20","IEEE","29 May 2020","","","IEEE","IEEE Conferences"
"Security Platform for Mobile OS","A. S. Brayan Benett; L. Ranjitha; K. Vinushanth; R. Sam Abisherk; A. N. Senarathne","Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2019 International Conference on Advancements in Computing (ICAC),"29 May 2020","2019","","","97","102","Evolution of human is evident in everything that we see, feel and use today. History of phone is one such example we can see. Modern devices have all the features that helped it to become the ultimate source of data for an individual. It was easy for an individual to keep all his data intact with him in his hands. There are vulnerable points which can be exploited to acquire the personal and sensitive data from the device in order to gain unethical advantage over an individual. Bluetooth, Wi-Fi and human errors are some of those vulnerable points. In this paper, multilevel malware detection with the help of machine learning, Rogue access point detection and accidental data leakage prevention are proposed with an emphasis on Android mobile operating system. As a result, accidental leakage of sensitive data by the user can be prevented. Further, rogue access point detection will help the user to prevent data loss through wireless network and the malware detection can prevent all the known and 85% of the unknown malwares.","","978-1-7281-4170-1","10.1109/ICAC49085.2019.9103430","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103430","Android;DLP;Secure Wireless;Bluetooth;machine learning;Platform security","Bluetooth;Security;Protocols;Smart phones;Hidden Markov models;Wireless fidelity;Wireless sensor networks","","","","24","IEEE","29 May 2020","","","IEEE","IEEE Conferences"
"An Automated Tool for Memory Forensics","M. Murthaja; B. Sahayanathan; A. N. T. S. Munasinghe; D. Uthayakumar; L. Rupasinghe; A. Senarathne","Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2019 International Conference on Advancements in Computing (ICAC),"29 May 2020","2019","","","1","6","In the present, memory forensics has captured the world's attention. Currently, the volatility framework is used to extract artifacts from the memory dump, and the extracted artifacts are then used to investigate and to identify the malicious processes in the memory dump. The investigation process must be conducted manually, since the volatility framework provides only the artifacts that exist in the memory dump. In this paper, we investigate the four predominant domains of registry, DLL, API calls and network connections in memory forensics to implement the system `Malfore,' which helps automate the entire process of memory forensics. We use the cuckoo sandbox to analyze malware samples and to obtain memory dumps and volatility frameworks to extract artifacts from the memory dump. The finalized dataset was evaluated using several machine learning algorithms, including RNN. The highest accuracy achieved was 98%, and it was reached using a recurrent neural network model, fitted to the data extracted from the DLL artifacts, and 92% accuracy was reached using a recurrent neural network model, fitted to data extracted from the network connection artifacts.","","978-1-7281-4170-1","10.1109/ICAC49085.2019.9103416","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103416","Memory forensics;malware;cuckoo sandbox;volatility;machine learning;deep learning;feature selection","Malware;Forensics;Random access memory;Microsoft Windows;Feature extraction;Task analysis;Data mining","","4","","18","IEEE","29 May 2020","","","IEEE","IEEE Conferences"
