"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"ICARC 2023 Cover Page","",,2023 3rd International Conference on Advanced Research in Computing (ICARC),"12 Jun 2023","2023","","","c1","c1","","","979-8-3503-4737-1","10.1109/ICARC57651.2023.10145754","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145754","","","","","","","IEEE","12 Jun 2023","","","IEEE","IEEE Conferences"
"ICARC 2023 Cover Page","",,2023 3rd International Conference on Advanced Research in Computing (ICARC),"12 Jun 2023","2023","","","c1","c1","","","979-8-3503-4737-1","10.1109/ICARC57651.2023.10145671","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145671","","","","","","","IEEE","12 Jun 2023","","","IEEE","IEEE Conferences"
"Copyright and Reprint Permissions","",,2023 3rd International Conference on Advanced Research in Computing (ICARC),"12 Jun 2023","2023","","","ii","ii","","","979-8-3503-4737-1","10.1109/ICARC57651.2023.10145761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145761","","","","","","","IEEE","12 Jun 2023","","","IEEE","IEEE Conferences"
"Organizing Committee","",,2023 3rd International Conference on Advanced Research in Computing (ICARC),"12 Jun 2023","2023","","","iii","vi","","","979-8-3503-4737-1","10.1109/ICARC57651.2023.10145752","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145752","","","","","","","IEEE","12 Jun 2023","","","IEEE","IEEE Conferences"
"Editorial Board","",,2023 3rd International Conference on Advanced Research in Computing (ICARC),"12 Jun 2023","2023","","","vii","vii","","","979-8-3503-4737-1","10.1109/ICARC57651.2023.10145724","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145724","","","","","","","IEEE","12 Jun 2023","","","IEEE","IEEE Conferences"
"Advisory Panel","",,2023 3rd International Conference on Advanced Research in Computing (ICARC),"12 Jun 2023","2023","","","viii","viii","","","979-8-3503-4737-1","10.1109/ICARC57651.2023.10145662","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145662","","","","","","","IEEE","12 Jun 2023","","","IEEE","IEEE Conferences"
"Panel of Reviewers","",,2023 3rd International Conference on Advanced Research in Computing (ICARC),"12 Jun 2023","2023","","","ix","xiv","","","979-8-3503-4737-1","10.1109/ICARC57651.2023.10145704","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145704","","","","","","","IEEE","12 Jun 2023","","","IEEE","IEEE Conferences"
"Messages","",,2023 3rd International Conference on Advanced Research in Computing (ICARC),"12 Jun 2023","2023","","","xv","xvii","","","979-8-3503-4737-1","10.1109/ICARC57651.2023.10145712","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145712","","","","","","","IEEE","12 Jun 2023","","","IEEE","IEEE Conferences"
"Contents","",,2023 3rd International Conference on Advanced Research in Computing (ICARC),"12 Jun 2023","2023","","","xviii","xxiii","","","979-8-3503-4737-1","10.1109/ICARC57651.2023.10145616","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145616","","","","","","","IEEE","12 Jun 2023","","","IEEE","IEEE Conferences"
"Keynote Addresses","",,2023 3rd International Conference on Advanced Research in Computing (ICARC),"12 Jun 2023","2023","","","xxiv","xxv","","","979-8-3503-4737-1","10.1109/ICARC57651.2023.10145608","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145608","","5G mobile communication;Distributed ledger;Blockchains;Next generation networking;Wireless networks;Virtualization;Urban areas","","","","","IEEE","12 Jun 2023","","","IEEE","IEEE Conferences"
