"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Front Cover","",,2023 IEEE 17th International Conference on Industrial and Information Systems (ICIIS),"20 Sep 2023","2023","","","1","1","","2164-7011","979-8-3503-2363-4","10.1109/ICIIS58898.2023.10253552","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253552","","","","","","","IEEE","20 Sep 2023","","","IEEE","IEEE Conferences"
"Title Page","",,2023 IEEE 17th International Conference on Industrial and Information Systems (ICIIS),"20 Sep 2023","2023","","","1","1","","2164-7011","979-8-3503-2363-4","10.1109/ICIIS58898.2023.10253511","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253511","","","","","","","IEEE","20 Sep 2023","","","IEEE","IEEE Conferences"
"Copyright Page","",,2023 IEEE 17th International Conference on Industrial and Information Systems (ICIIS),"20 Sep 2023","2023","","","1","1","","2164-7011","979-8-3503-2363-4","10.1109/ICIIS58898.2023.10253535","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253535","","","","","","","IEEE","20 Sep 2023","","","IEEE","IEEE Conferences"
"International Advisory Committee","",,2023 IEEE 17th International Conference on Industrial and Information Systems (ICIIS),"20 Sep 2023","2023","","","i","i","","2164-7011","979-8-3503-2363-4","10.1109/ICIIS58898.2023.10253528","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253528","","","","","","","IEEE","20 Sep 2023","","","IEEE","IEEE Conferences"
"Conference Organizing Committee","",,2023 IEEE 17th International Conference on Industrial and Information Systems (ICIIS),"20 Sep 2023","2023","","","ii","v","","2164-7011","979-8-3503-2363-4","10.1109/ICIIS58898.2023.10253513","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253513","","","","","","","IEEE","20 Sep 2023","","","IEEE","IEEE Conferences"
"Technical Program Committee","",,2023 IEEE 17th International Conference on Industrial and Information Systems (ICIIS),"20 Sep 2023","2023","","","vi","x","","2164-7011","979-8-3503-2363-4","10.1109/ICIIS58898.2023.10253520","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253520","","","","","","","IEEE","20 Sep 2023","","","IEEE","IEEE Conferences"
"International Review Panel","",,2023 IEEE 17th International Conference on Industrial and Information Systems (ICIIS),"20 Sep 2023","2023","","","xi","xvii","","2164-7011","979-8-3503-2363-4","10.1109/ICIIS58898.2023.10253514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253514","","","","","","","IEEE","20 Sep 2023","","","IEEE","IEEE Conferences"
"Message from the General Chair, ICIIS 2023","",,2023 IEEE 17th International Conference on Industrial and Information Systems (ICIIS),"20 Sep 2023","2023","","","xviii","xix","","2164-7011","979-8-3503-2363-4","10.1109/ICIIS58898.2023.10253551","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253551","","","","","","0","IEEE","20 Sep 2023","","","IEEE","IEEE Conferences"
"Message from the Technical Programm Committee Chair, ICIIS 2023","",,2023 IEEE 17th International Conference on Industrial and Information Systems (ICIIS),"20 Sep 2023","2023","","","xx","xx","","2164-7011","979-8-3503-2363-4","10.1109/ICIIS58898.2023.10253561","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253561","","","","","","0","IEEE","20 Sep 2023","","","IEEE","IEEE Conferences"
"Technical Sessions","",,2023 IEEE 17th International Conference on Industrial and Information Systems (ICIIS),"20 Sep 2023","2023","","","i","xxi","","2164-7011","979-8-3503-2363-4","10.1109/ICIIS58898.2023.10253501","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253501","","","","","","","IEEE","20 Sep 2023","","","IEEE","IEEE Conferences"
