"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"[Front cover]","",,2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","c1","c1","Presents the front cover or splash screen of the proceedings record.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185367","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185367","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"[Copyright notice]","",,2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","i","i","Presents the copyright information for the conference. May include reprint permission information.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185347","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185347","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"Introduction","",,2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","ii","ii","Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185309","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185309","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"Message from the General Chair","",,2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","iii","iii","Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185189","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"Message from the Program Chair","",,2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","iv","v","Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185359","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185359","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"Committee","",,2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","vi","ix","Provides a listing of current committee members and society officers.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185314","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185314","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"Track Chairs","",,2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","x","xii","Provides a listing of current committee members and society officers.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185355","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185355","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"Reviewers","",,2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","xiii","xx","The conference offers a note of thanks and lists its reviewers.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185297","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185297","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"Keynote Addresses","",,2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","xxi","xxiii","Provides an abstract for each of the keynote presentations and may include a brief professional biography of each presenter. The complete presentations were not made available for publication as part of the conference proceedings.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185219","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185219","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"Program","",,2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","xxiv","xxv","Provides a schedule of conference events and a listing of which papers were presented in each session.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185323","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185323","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"Sessions","",,2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","xxvi","xxxiv","Provides a schedule of conference events and a listing of which papers were presented in each session.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185372","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185372","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"Conference Proceedings, Artwork and Local Arrangements","",,2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","xxxv","xxxvi","Provides general information of interest to conference attendees.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185257","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185257","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"3D Full-Field Deformation Measuring Technique Using Digital Image Correlation","S. Nadarajah; V. Arulkumar; C. Mallikarachchi","Department of Civil Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Department of Civil Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Department of Civil Engineering, University of Moratuwa, Moratuwa, Sri Lanka",2020 Moratuwa Engineering Research Conference (MERCon),"3 Sep 2020","2020","","","1","6","Full-field deformation measurements are crucial as it offers detailed information to better understand both micro and macroscopic nature of material behavior. The practice of employing Digital Image Correlation (DIC) based measuring techniques in experiments has increased due to its ability to generate full-field deformation information with minimal effort. Even though DIC systems are commercially available, the affordability of those systems is questionable in local context due to high capital costs. Most of the past studies related to DIC were focused on testing concrete, masonry and metallic alloy specimens, and little effort has been made on materials with recoverable large elongations. This paper presents a 3D full-field deformation measuring system that has been developed with a special focus on hyperelastic materials. The proposed system requires two common digital cameras for image acquisition, as the depth information is of interest. Images are then processed using the MATLAB-based algorithm developed to produce the full-field deformation map. Hyperelastic specimens of two different thicknesses were tested over 70% strain and the accuracy of the strain measurement using the proposed system is validated against physical measurements. The results have shown that the strains can be captured to an accuracy greater than 90% using the proposed technique.","","978-1-7281-9975-7","10.1109/MERCon50084.2020.9185343","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185343","digital image correlation;image processing;full-field deformation map;3D reconstruction;hyperelastic material","Strain;Cameras;Feature extraction;Three-dimensional displays;Rubber;Optical imaging;Speckle","","3","","15","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
