"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"SCSE 2024 Cover Page","",,2024 International Research Conference on Smart Computing and Systems Engineering (SCSE),"11 Jun 2024","2024","7","","c1","c26","","2613-8662","979-8-3503-7568-8","10.1109/SCSE61872.2024.10550491","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550491","","","","","","","IEEE","11 Jun 2024","","","IEEE","IEEE Conferences"
"SCSE 2024 Copyright Notice","",,2024 International Research Conference on Smart Computing and Systems Engineering (SCSE),"11 Jun 2024","2024","7","","ii","ii","","2613-8662","979-8-3503-7568-8","10.1109/SCSE61872.2024.10550635","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550635","","","","","","","IEEE","11 Jun 2024","","","IEEE","IEEE Conferences"
"SCSE 2024 TOC","",,2024 International Research Conference on Smart Computing and Systems Engineering (SCSE),"11 Jun 2024","2024","7","","iii","iii","","2613-8662","979-8-3503-7568-8","10.1109/SCSE61872.2024.10550808","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550808","","","","","","","IEEE","11 Jun 2024","","","IEEE","IEEE Conferences"
"SCSE 2024 Technical Programme Committee","",,2024 International Research Conference on Smart Computing and Systems Engineering (SCSE),"11 Jun 2024","2024","7","","vii","viii","","2613-8662","979-8-3503-7568-8","10.1109/SCSE61872.2024.10550465","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550465","","","","","","","IEEE","11 Jun 2024","","","IEEE","IEEE Conferences"
"SCSE 2024 Editorial Board","",,2024 International Research Conference on Smart Computing and Systems Engineering (SCSE),"11 Jun 2024","2024","7","","v","v","","2613-8662","979-8-3503-7568-8","10.1109/SCSE61872.2024.10550501","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550501","","","","","","","IEEE","11 Jun 2024","","","IEEE","IEEE Conferences"
"SCSE 2024 Organizing Committees","",,2024 International Research Conference on Smart Computing and Systems Engineering (SCSE),"11 Jun 2024","2024","7","","ix","ix","","2613-8662","979-8-3503-7568-8","10.1109/SCSE61872.2024.10550581","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550581","","","","","","","IEEE","11 Jun 2024","","","IEEE","IEEE Conferences"
"SCSE 2024 Advisory Committees","",,2024 International Research Conference on Smart Computing and Systems Engineering (SCSE),"11 Jun 2024","2024","7","","xi","xi","","2613-8662","979-8-3503-7568-8","10.1109/SCSE61872.2024.10550454","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550454","","","","","","","IEEE","11 Jun 2024","","","IEEE","IEEE Conferences"
"SCSE 2024 Keynote Speech","",,2024 International Research Conference on Smart Computing and Systems Engineering (SCSE),"11 Jun 2024","2024","7","","xiii","xiii","","2613-8662","979-8-3503-7568-8","10.1109/SCSE61872.2024.10550592","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550592","","","","","","","IEEE","11 Jun 2024","","","IEEE","IEEE Conferences"
"SCSE 2024 Commentary","",,2024 International Research Conference on Smart Computing and Systems Engineering (SCSE),"11 Jun 2024","2024","7","","xv","xv","","2613-8662","979-8-3503-7568-8","10.1109/SCSE61872.2024.10550515","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550515","","","","","","","IEEE","11 Jun 2024","","","IEEE","IEEE Conferences"
"A Study on Machine Learning Algorithms Selection for Estimating the Impact of FIFA World Cups","N. Manoli; M. Takahashi; Y. Matsuura","Graduate School of Science and Technology for Innovation, Yamaguchi University, Yamaguchi, Japan; Graduate School of Science and Technology for Innovation, Yamaguchi University, Yamaguchi, Japan; Graduate School of Innovation and Technology Management, Yamaguchi University, Yamaguchi, Japan",2024 International Research Conference on Smart Computing and Systems Engineering (SCSE),"11 Jun 2024","2024","7","","1","6","This study aims to identify the most efficient and accurate machine learning models for precisely estimating the impacts of major sporting events (MSEs). To address these complex challenges, this study broadens the horizons of machine learning applications by integrating sophisticated selection techniques including Stepwise Regression, Support Vector Machines (SVMs), Boosted Neural Networks, Generalized Regression Lasso, Bootstrap Forest, and K-Nearest Neighbors (KNN). This study highlights the diverse nature of variables, including long-term investments, visitor numbers, GDP, and sporting factors such as team scores and performance, using various machine learning models to identify the most suitable models for such datasets. It assessed the contribution of predictors and the significance of variables during the model training and validation phases. Results revealed that the stepwise regression method exhibited robust performance during the training phase. The neural-boosted model exhibited limitations in generalization, demonstrating the intricate nature of and obstacles associated with forecasting the diverse consequences of mega sports events.","2613-8662","979-8-3503-7568-8","10.1109/SCSE61872.2024.10550898","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550898","Mega-Sport Events (MSEs);FIFA World Cup;Machine Learning Comparison;Algorithms Selection;Impact Estimation","Training;Support vector machines;Machine learning algorithms;Neural networks;Machine learning;Forestry;Predictive models","","","","23","IEEE","11 Jun 2024","","","IEEE","IEEE Conferences"
