DOI,Title,Matched Columns,Matched keywards
10.1109/ICAC49085.2019.9103404,Analyzing Payment Behaviors And Introducing An Optimal Credit Limit,"Abstract, Author Keywords, Author Keywords, IEEE Terms","clustering, machine learning, clustering, clustering"
10.1109/ICAC49085.2019.9103430,Security Platform for Mobile OS,"Abstract, Author Keywords","machine learning, machine learning"
10.1109/ICAC49085.2019.9103416,An Automated Tool for Memory Forensics,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","machine learning, neural network, recurrent neural network, machine learning, feature selection, deep learning"
10.1109/ICAC49085.2019.9103339,Enhanced Secure Solution for PoS Architecture,"Abstract, Abstract, IEEE Terms","machine learning, deep learning, machine learning"
10.1109/ICAC49085.2019.9103347,A Mobile App for Location Based Customer Notifications About Sales Offers,"Abstract, Abstract, Author Keywords","machine learning, deep learning, machine learning"
10.1109/ICAC49085.2019.9103377,Online Music Platform to Create Interaction between Music Artists and Fans,Author Keywords,neural network
10.1109/ICAC49085.2019.9103380,TOURGURU: Tour Guide Mobile Application for Tourists,"Abstract, Author Keywords","machine learning, machine learning"
10.1109/ICAC49085.2019.9103423,Therapy Tool for Adolescents with ADHD,Author Keywords,machine learning
10.1109/ICAC49085.2019.9103410,Wedaduru -An Intelligent Ayurvedic Disease Screening and Remedy Analysis Solution,"Abstract, Abstract","supervised learning, supervised learning"
10.1109/ICAC49085.2019.9103336,"A Gamified Approach for Screening and Intervention of Dyslexia, Dysgraphia and Dyscalculia","Abstract, Abstract, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords","machine learning, random forest, support vector machine, k-nearest neighbors, neural network, convolutional neural network, deep learning, machine learning, neural network"
10.1109/ICAC49085.2019.9103376,"MOOCs Recommender Based on User Preference, Learning Styles and Forum Activity",Author Keywords,machine learning
10.1109/ICAC49085.2019.9103400,Code Vulnerability Identification and Code Improvement using Advanced Machine Learning,"Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms","machine learning, machine learning, neural network, deep learning, machine learning, deep learning, machine learning"
10.1109/ICAC49085.2019.9103381,Stock Market Prediction Using Machine Learning Techniques,Document Title,machine learning
10.1109/ICAC49085.2019.9103344,Predictive Analytics Platform for Organic Cultivation Management,"Abstract, Author Keywords, IEEE Terms","machine learning, machine learning, machine learning"
10.1109/ICAC49085.2019.9103421,Forecast Municipal Solid Waste Generation in Sri Lanka,"Abstract, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords","machine learning, random forest, principal component analysis, artificial neural network, neural network, ann, random forest, ann"
10.1109/ICAC49085.2019.9103413,Ayurvedic Knowledge Sharing Platform with Sinhala Virtual Assistant,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords","machine learning, deep learning, cnn, machine learning, neural network"
10.1109/ICAC49085.2019.9103340,Recognition and translation of Ancient Brahmi Letters using deep learning and NLP,"Document Title, Abstract, Author Keywords, IEEE Terms","deep learning, deep learning, neural network, machine learning"
10.1109/ICAC49085.2019.9103335,Smart Mirror with Virtual Twin,"Abstract, Author Keywords, Author Keywords, IEEE Terms","machine learning, machine learning, deep learning, machine learning"
10.1109/ICAC49085.2019.9103402,Easy Learning: Augmented Reality Based Environmental Studies for Primary Students,Author Keywords,machine learning
10.1109/ICAC49085.2019.9103342,Tool to Extract and Summarize Methodologies of Research Articles for Visually Impaired Researchers,Abstract,machine learning
10.1109/ICAC49085.2019.9103420,Document Reader for Vision Impaired Elementary School Children to Identify Printed Images,"Author Keywords, Author Keywords","support vector machine, svm"
10.1109/ICAC49085.2019.9103395,Plus Go: Intelligent Complementary Ride-Sharing System,"Author Keywords, IEEE Terms","machine learning, clustering"
10.1109/ICAC49085.2019.9103386,Drown Prevention and Flood prediction using smart embedded devices,Abstract,machine learning
10.1109/ICAC49085.2019.9103425,Using CNNs RNNs and Machine Learning Algorithms for Real-time Crime Prediction,"Document Title, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","machine learning, machine learning, deep learning, machine learning, long short-term memory, deep learning, cnn, machine learning"
10.1109/ICAC49085.2019.9103383,On The Effectiveness of Using Machine Learning and Gaussian Plume Model for Plant Disease Dispersion Prediction and Simulation,"Document Title, Author Keywords","machine learning, machine learning"
10.1109/ICAC49085.2019.9103369,Traffic Density Estimation and Traffic Control using Convolutional Neural Network,"Document Title, Document Title, Abstract, Author Keywords, IEEE Terms","neural network, convolutional neural network, machine learning, machine learning, machine learning"
10.1109/ICAC49085.2019.9103428,Comparative analysis of the application of Deep Learning techniques for Forex Rate prediction,"Document Title, Abstract, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms","deep learning, machine learning, neural network, convolutional neural network, long short-term memory, deep learning, cnn, deep learning, cnn, machine learning"
10.1109/ICAC49085.2019.9103378,Machine Learning Approaches for Emotion Classification of Music: A Systematic Literature Review,"Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","machine learning, machine learning, ensemble learning, support vector machine, naive bayes, machine learning, machine learning"
10.1109/ICAC49085.2019.9103424,Mobile-based Malware Detection and Classification using Ensemble Artificial Intelligence,"Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","machine learning, support vector machine, neural network, convolutional neural network, deep learning, ensemble learning, svm, cnn, machine learning"
10.1109/ICAC49085.2019.9103372,"AI Based Cyber Threats and Vulnerability Detection, Prevention and Prediction System",IEEE Terms,machine learning
10.1109/ICAC49085.2019.9103382,AuthDNA: An Adaptive Authentication Service for any Identity Server,"Abstract, Abstract, Author Keywords","neural network, recurrent neural network, svm"
10.1109/ICAC49085.2019.9103379,Smart Water Buddy: IoT based Intelligent Domestic Water Management System,"Abstract, Author Keywords, IEEE Terms","machine learning, machine learning, clustering"
10.1109/ICAC49085.2019.9103391,IoT Device to Detect Anemia: A Non-Invasive Approach with Multiple Inputs,"Author Keywords, IEEE Terms","machine learning, machine learning"
10.1109/ICAC49085.2019.9103408,Dia-Shoe: A Smart Diabetic Shoe to Monitor and Prevent Diabetic Foot Ulcers,Author Keywords,machine learning
10.1109/ICAC49085.2019.9103345,Efficient Agricultural Sensor Network With Disease Detection,"Abstract, Author Keywords","machine learning, machine learning"
10.1109/ICAC49085.2019.9103418,Secure Web Navigation with Intrusion Detection And Quota Management for SOHO and Small Scale Businesses,"Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","machine learning, decision tree, random forest, k-nearest neighbors, precision, machine learning, machine learning"
10.1109/ICAC49085.2019.9103371,VAULT - A Shared Distributed And Redundant Storage Solution,Abstract,machine learning
10.1109/ICAC49085.2019.9103341,Deep Learning based Flood Prediction and Relief Optimization,"Document Title, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords","deep learning, clustering, neural network, convolutional neural network, recurrent neural network, cnn, clustering, cnn"
10.1109/ICAC49085.2019.9103422,Smart Crop and Fertilizer Prediction System,IEEE Terms,machine learning
10.1109/ICAC51239.2020.9357162,"Assist: Rendering, Pipeline Management, and Pipeline Tracking Software",Abstract,decision tree
10.1109/ICAC51239.2020.9357147,Generating 2.5D Motion Graphics from 2D Designs,"Abstract, Author Keywords","clustering, clustering"
10.1109/ICAC51239.2020.9357300,Utalk: Sri Lankan Sign Language Converter Mobile App using Image Processing and Machine Learning,"Document Title, Abstract, Author Keywords, IEEE Terms","machine learning, machine learning, machine learning, machine learning"
10.1109/ICAC51239.2020.9357149,"Innovative, Integrated and Interactive (3I) LMS for Learners and Trainers",Abstract,recall
10.1109/ICAC51239.2020.9357134,An Integrated Framework for Predicting Health Based on Sensor Data Using Machine Learning,"Document Title, Abstract, Author Keywords","machine learning, random forest, machine learning"
10.1109/ICAC51239.2020.9357140,“iParking” – Smart way to Automate the Management of the Parking System for a Smart City,"Abstract, Abstract","machine learning, precision"
10.1109/ICAC51239.2020.9357146,Water Quality Index Based Prediction of Ground Water Properties for Safe Consumption,"Abstract, Author Keywords, IEEE Terms, IEEE Terms, IEEE Terms","machine learning, machine learning, machine learning, supervised learning, supervised learning"
10.1109/ICAC51239.2020.9357160,An Enhanced Virtual Fitting Room using Deep Neural Networks,"Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms","neural network, convolutional neural network, deep learning, cnn, neural network, convolutional neural network, deep learning"
10.1109/ICAC51239.2020.9357207,Individualized Edutainment and Parent Supportive Tool for ADHD Children,"Abstract, Author Keywords","random forest, machine learning"
10.1109/ICAC51239.2020.9357278,MOOCs Recommender based on User Preference and Video Quality,Author Keywords,machine learning
10.1109/ICAC51239.2020.9357159,"Prediction of CKDu using KDQOL score, Ankle Swelling and Risk Factor Analysis using Neural Networks","Abstract, IEEE Terms","machine learning, machine learning"
10.1109/ICAC51239.2020.9357247,Mobile-based Assistive Tool to Identify & Learn Medicinal Herbs,"Abstract, Author Keywords, Author Keywords","deep learning, machine learning, deep learning"
10.1109/ICAC51239.2020.9357274,A Deep Learning Approach to Outbreak related Tweet Detection,"Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","deep learning, neural network, recurrent neural network, long short-term memory, deep learning, deep learning, deep learning"
10.1109/ICAC51239.2020.9357244,Predictive Analytics Platform for Airline Industry,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords","supervised learning, semi-supervised learning, supervised learning, machine learning, neural network"
10.1109/ICAC51239.2020.9357133,DenGue CarB: Mosquito Identification and Classification using Machine Learning,"Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","machine learning, machine learning, support vector machine, k-nearest neighbors, cnn, svm, knn, cnn, machine learning"
10.1109/ICAC51239.2020.9357267,IoT Based Sign Language Recognition System,"Author Keywords, Author Keywords","neural network, recurrent neural network"
10.1109/ICAC51239.2020.9357279,Candidate Selection for the Interview using GitHub Profile and User Analysis for the Position of Software Engineer,"Abstract, Author Keywords, IEEE Terms","machine learning, machine learning, machine learning"
10.1109/ICAC51239.2020.9357240,AI Approach In Monitoring The Physical And Psychological State Of Car Drivers And Remedial Action For Safe Driving,"Abstract, IEEE Terms","machine learning, machine learning"
10.1109/ICAC51239.2020.9357161,Deepfake Audio Detection: A Deep Learning Based Solution for Group Conversations,"Document Title, Abstract, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","deep learning, neural network, deep neural network, convolutional neural network, recurrent neural network, deep learning, cnn, deep learning, deep learning"
10.1109/ICAC51239.2020.9357313,CEYLAGRO: Information Technological Approach for an Optimized and Centralized Agriculiture Platform,"Abstract, Author Keywords","cnn, cnn"
10.1109/ICAC51239.2020.9357143,Intelligent Disease Detection System for Greenhouse with a Robotic Monitoring System,"Abstract, Abstract, Author Keywords, Author Keywords","machine learning, deep learning, machine learning, deep learning"
10.1109/ICAC51239.2020.9357297,Learning Assistant to Acquire the Fundamental Language Skills for Non-Native Learners using AI,"Abstract, Abstract, Author Keywords, IEEE Terms","machine learning, deep learning, machine learning, deep learning"
10.1109/ICAC51239.2020.9357131,An AI based Chatbot to Self-Learn and Self-Assess Performance in Ordinary Level Chemistry,"Author Keywords, Author Keywords","neural network, deep neural network"
10.1109/ICAC51239.2020.9357129,Aspect Based Sentiment Analysis for Evaluating Movies and TV series,"Abstract, Author Keywords, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","machine learning, support vector machine, artificial neural network, neural network, long short-term memory, machine learning"
10.1109/ICAC51239.2020.9357288,Stock Market Price Forecasting using ARIMA vs ANN; A Case study from CSE,"Document Title, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms","ann, precision, mae, mse, neural network, deep learning, artificial neural network, neural network, deep learning"
10.1109/ICAC51239.2020.9357320,Smart Exam Evaluator for Object-Oriented Programming Modules,"Abstract, Author Keywords","machine learning, machine learning"
10.1109/ICAC51239.2020.9357138,Facial Emotion Prediction through Action Units and Deep Learning,"Document Title, Abstract, Abstract, Author Keywords, IEEE Terms","deep learning, machine learning, deep learning, machine learning, deep learning"
10.1109/ICAC51239.2020.9357256,Supply and Demand Planning for Water: A Sustainable Water Management System,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","neural network, recurrent neural network, long short-term memory, neural network, recurrent neural network, long short-term memory"
10.1109/ICAC51239.2020.9357281,VirtualPT: Virtual Reality based Home Care Physiotherapy Rehabilitation for Elderly,Author Keywords,machine learning
