DOI,Title,Matched Columns,Matched keywards
10.1109/ICAC49085.2019.9103416,An Automated Tool for Memory Forensics,"Abstract, Abstract","recurrent neural network, rnn"
10.1109/ICAC49085.2019.9103381,Stock Market Prediction Using Machine Learning Techniques,"Abstract, Abstract","rnn, lstm"
10.1109/ICAC49085.2019.9103425,Using CNNs RNNs and Machine Learning Algorithms for Real-time Crime Prediction,"Author Keywords, Author Keywords, Author Keywords","rnn, lstm, long short-term memory"
10.1109/ICAC49085.2019.9103428,Comparative analysis of the application of Deep Learning techniques for Forex Rate prediction,"Abstract, Abstract, Author Keywords","lstm, long short-term memory, lstm"
10.1109/ICAC49085.2019.9103382,AuthDNA: An Adaptive Authentication Service for any Identity Server,"Abstract, Author Keywords","recurrent neural network, rnn"
10.1109/ICAC49085.2019.9103341,Deep Learning based Flood Prediction and Relief Optimization,"Abstract, Abstract, Abstract, Author Keywords","recurrent neural network, lstm, long short term memory, lstm"
10.1109/ICAC51239.2020.9357274,A Deep Learning Approach to Outbreak related Tweet Detection,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords","recurrent neural network, lstm, long short-term memory, rnn, lstm"
10.1109/ICAC51239.2020.9357267,IoT Based Sign Language Recognition System,Author Keywords,recurrent neural network
10.1109/ICAC51239.2020.9357161,Deepfake Audio Detection: A Deep Learning Based Solution for Group Conversations,Abstract,recurrent neural network
10.1109/ICAC51239.2020.9357129,Aspect Based Sentiment Analysis for Evaluating Movies and TV series,Author Keywords,long short-term memory
10.1109/ICAC51239.2020.9357256,Supply and Demand Planning for Water: A Sustainable Water Management System,"Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, Author Keywords","recurrent neural network, rnn, lstm, long short-term memory, recurrent neural network, rnn, lstm, long short-term memory"
10.1109/ICAC51239.2020.9357144,Exploiting Multivariate LSTM Models with Multistep Price Forecasting for Agricultural Produce in Sri Lankan Context,"Document Title, Abstract, Author Keywords","lstm, lstm, lstm"
10.1109/ICAC51239.2020.9357150,Smart Personal Intelligent Assistant for Candidates of IELTS Exams,"Abstract, Abstract, Author Keywords","lstm, long short-term memory, long short-term memory"
10.1109/ICAC54203.2021.9671132,Effectiveness of Stock Index Forecasting using ARIMA model: Evidence from New Zealand,"Abstract, Abstract","lstm, long short-term memory"
10.1109/ICAC54203.2021.9671112,IoT-based Monitoring System for Oyster Mushroom Farming,"Abstract, Abstract","lstm, long short term memory"
10.1109/ICAC54203.2021.9671146,Data-driven Business Intelligence Platform for Smart Retail Stores,"Abstract, Abstract","lstm, long short-term memory"
10.1109/ICAC54203.2021.9671125,PharmaGo-An Online Pharmaceutical Ordering Platform,Author Keywords,lstm
10.1109/ICAC54203.2021.9671224,Price Optimisation and Management,Abstract,lstm
10.1109/ICAC57685.2022.10025201,Assistant Zone – Homeschooling Assistance System based on Natural Language Processing,"Abstract, Author Keywords","recurrent neural network, rnn"
10.1109/ICAC57685.2022.10025072,"Comparison of ARIMA and LSTM in Forecasting the Retail Prices of Vegetables in Colombo, Sri Lanka","Document Title, Abstract, Author Keywords","lstm, lstm, lstm"
10.1109/ICAC57685.2022.10025338,Face Skin Disease Detection and Community based Doctor Recommendation System,Author Keywords,lstm
10.1109/ICAC57685.2022.10025124,Human Behavior Analysis for Psychological Healthcare Sector (Project SERENITY),Author Keywords,long short-term memory
10.1109/ICAC57685.2022.10025259,Anomaly Detection in Microservice Systems Using Autoencoders,Author Keywords,lstm
10.1109/ICAC60630.2023.10417368,Dr. Fish: A Deep Learning-Based Mobile Application for Ornamental Fish Industry in Sri Lanka,"Abstract, Author Keywords","rnn, rnn"
